id,dex
ERR5021524,disease
ERR5021525,disease
ERR5021526,disease
ERR5021527,control
ERR5021528,control
ERR5021529,control
ERR5021530,disease
ERR5021531,control
ERR5021532,disease
ERR5021533,disease
ERR5021534,disease
ERR5021535,control
ERR5021536,control
ERR5021537,control
ERR5021538,disease
ERR5021539,control
ERR5021540,control
ERR5021541,disease
ERR5021542,disease
ERR5021543,disease
ERR5021544,disease
ERR5021545,disease
ERR5021546,disease
ERR5021547,control
ERR5021548,disease
ERR5021549,disease
ERR5021550,disease
ERR5021551,disease
ERR5021552,disease
ERR5021553,disease
ERR5021554,disease
ERR5021555,control
ERR5021556,control
ERR5021557,control
ERR5021558,control
ERR5021559,control
